from_warehouse,to_facility,distance_km,cost_per_unit
WH_NORTH,MED_CENTER,0.56,3.83
WH_NORTH,ENG_BUILDING,0.35,3.53
WH_NORTH,SCIENCE_HALL,0.86,4.29
WH_NORTH,DORM_A,0.31,3.46
WH_NORTH,DORM_B,1.09,4.64
WH_NORTH,LIBRARY,0.45,3.67
WH_NORTH,STADIUM,0.95,4.43
WH_NORTH,COMM_CENTER,0.74,4.1
WH_NORTH,PUBLIC_SCHOOL,1.22,4.84
WH_NORTH,LOCAL_HOSPITAL,0.55,3.82
WH_SOUTH,MED_CENTER,0.56,3.83
WH_SOUTH,ENG_BUILDING,0.86,4.29
WH_SOUTH,SCIENCE_HALL,0.34,3.52
WH_SOUTH,DORM_A,1.1,4.65
WH_SOUTH,DORM_B,0.29,3.44
WH_SOUTH,LIBRARY,0.67,4.0
WH_SOUTH,STADIUM,0.2,3.31
WH_SOUTH,COMM_CENTER,0.41,3.62
WH_SOUTH,PUBLIC_SCHOOL,0.37,3.56
WH_SOUTH,LOCAL_HOSPITAL,0.82,4.23
WH_EAST,MED_CENTER,0.47,3.71
WH_EAST,ENG_BUILDING,0.38,3.56
WH_EAST,SCIENCE_HALL,0.73,4.09
WH_EAST,DORM_A,0.53,3.79
WH_EAST,DORM_B,0.91,4.36
WH_EAST,LIBRARY,0.52,3.78
WH_EAST,STADIUM,0.71,4.06
WH_EAST,COMM_CENTER,0.38,3.56
WH_EAST,PUBLIC_SCHOOL,1.04,4.56
WH_EAST,LOCAL_HOSPITAL,0.19,3.28
WH_WEST,MED_CENTER,0.45,3.68
WH_WEST,ENG_BUILDING,0.73,4.09
WH_WEST,SCIENCE_HALL,0.38,3.56
WH_WEST,DORM_A,0.91,4.36
WH_WEST,DORM_B,0.53,3.79
WH_WEST,LIBRARY,0.44,3.65
WH_WEST,STADIUM,0.51,3.77
WH_WEST,COMM_CENTER,0.61,3.92
WH_WEST,PUBLIC_SCHOOL,0.62,3.93
WH_WEST,LOCAL_HOSPITAL,0.86,4.29
WH_CENTRAL,MED_CENTER,0.0,3.0
WH_CENTRAL,ENG_BUILDING,0.35,3.53
WH_CENTRAL,SCIENCE_HALL,0.34,3.52
WH_CENTRAL,DORM_A,0.58,3.88
WH_CENTRAL,DORM_B,0.58,3.86
WH_CENTRAL,LIBRARY,0.12,3.17
WH_CENTRAL,STADIUM,0.41,3.61
WH_CENTRAL,COMM_CENTER,0.21,3.32
WH_CENTRAL,PUBLIC_SCHOOL,0.71,4.07
WH_CENTRAL,LOCAL_HOSPITAL,0.42,3.63
